country_id,country,abbreviation,gross_tertiary_education_enrollment_(%),population,unemployment_rate,urban_population,latitude,longitude
1,India,IN,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
2,United States,US,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
3,Japan,JP,63.2,126226568.0,2.29,115782416.0,36.204824,138.252924
4,Russia,RU,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756
5,South Korea,KR,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
6,United Kingdom,GB,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
7,Canada,CA,68.9,36991981.0,5.56,30628482.0,56.130366,-106.346771
8,Brazil,BR,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
9,Argentina,AR,90.0,44938712.0,9.79,41339571.0,-38.416097,-63.616672
10,Chile,CL,88.5,18952038.0,7.09,16610135.0,-35.675147,-71.542969
11,Cuba,CU,41.4,11333483.0,1.64,8739135.0,21.521757,-77.781167
12,El Salvador,SV,29.4,6453553.0,4.11,4694702.0,13.794185,-88.89653
13,Pakistan,PK,9.0,216565318.0,4.45,79927762.0,30.375321,69.345116
14,Philippines,PH,35.5,108116615.0,2.15,50975903.0,12.879721,121.774017
15,Thailand,TH,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
16,Colombia,CO,55.3,50339443.0,9.71,40827302.0,4.570868,-74.297333
17,Barbados,BB,65.4,287025.0,10.33,89431.0,13.193887,-59.543198
18,Mexico,MX,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
19,United Arab Emirates,AE,36.8,9770529.0,2.35,8479744.0,23.424076,53.847818
20,Spain,ES,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922
21,Saudi Arabia,SA,68.0,34268528.0,5.93,28807838.0,23.885942,45.079162
22,Indonesia,ID,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
23,Turkey,TR,23.9,83429615.0,13.49,63097818.0,38.963745,35.243322
24,Venezuela,VE,79.3,28515829.0,8.8,25162368.0,6.42375,-66.58973
25,Kuwait,KW,54.4,4207083.0,2.18,4207083.0,29.31166,47.481766
26,Jordan,JO,34.4,10101694.0,14.72,9213048.0,30.585164,36.238414
27,Netherlands,NL,85.0,17332850.0,3.2,15924729.0,52.132633,5.291266
28,Singapore,SG,84.8,5703569.0,4.11,5703569.0,1.352083,103.819836
29,Australia,AU,113.1,25766605.0,5.27,21844756.0,-25.274398,133.775136
30,Italy,IT,61.9,60297396.0,9.89,42651966.0,41.87194,12.56738
31,Germany,DE,70.2,83132799.0,3.04,64324835.0,51.165691,10.451526
32,France,FR,65.6,67059887.0,8.43,54123364.0,46.227638,2.213749
33,Sweden,SE,67.0,10285453.0,6.48,9021165.0,60.128161,18.643501
34,Afghanistan,AF,9.7,38041754.0,11.12,9797273.0,33.93911,67.709953
35,Ukraine,UA,82.7,44385155.0,8.88,30835699.0,48.379433,31.16558
36,Latvia,LV,88.1,1912789.0,6.52,1304943.0,56.879635,24.603189
37,Switzerland,CH,59.6,8574832.0,4.58,6332428.0,46.818188,8.227512
38,Vietnam,VN,28.5,96462106.0,2.01,35332140.0,14.058324,108.277199
39,Malaysia,MY,45.1,32447385.0,3.32,24475766.0,4.210484,101.975766
40,China,CN,50.6,1397715000.0,4.32,842933962.0,35.86166,104.195397
41,Iraq,IQ,16.2,39309783.0,12.82,27783368.0,33.223191,43.679291
42,Egypt,EG,35.2,100388073.0,10.76,42895824.0,26.820553,30.802498
43,Andorra,AD,,,,,,
44,Ecuador,EC,44.9,17373662.0,3.97,11116711.0,-1.831239,-78.183406
45,Morocco,MA,35.9,36910560.0,9.02,22975026.0,31.791702,-7.09262
46,Peru,PE,70.7,32510453.0,3.31,25390339.0,-9.189967,-75.015152
47,Bangladesh,BD,20.6,167310838.0,4.19,60987417.0,23.684994,90.356331
48,Finland,FI,88.2,5520314.0,6.59,4716888.0,61.92411,25.748151
49,Samoa,WS,7.6,202506.0,8.36,35588.0,-13.759029,-172.104629
